,date_exported,filename,index,operator,pathname,source,year,s3pathname,feedname,route_path,geojson_name,gdb_name,processed,succeeded,error_message
0,2012.10.12,GTFSTransitData_3D_2012.10.12.zip,1.0,3D,2012/GTFSTransitData_3D_2012.10.12.zip,mtc,2012,https://s3-us-west-2.amazonaws.com/mtc511gtfs/data/cached/2012/GTFSTransitData_3D_2012.10.12.zip,GTFSTransitData_3D_2012.10.12,data/routes/2012/3D/mtc,data/routes/2012/3D/mtc/GTFSTransitData_3D_2012.10.12.geojson,data/routes/2012/3D/mtc/GTFSTransitData_3D_2012.10.12.gpkg,1,1.0,
1,2011.05.11,GTFSTransitData_AB_2011.05.11.zip,2.0,AB,2012/GTFSTransitData_AB_2011.05.11.zip,mtc,2012,https://s3-us-west-2.amazonaws.com/mtc511gtfs/data/cached/2012/GTFSTransitData_AB_2011.05.11.zip,GTFSTransitData_AB_2011.05.11,data/routes/2012/AB/mtc,data/routes/2012/AB/mtc/GTFSTransitData_AB_2011.05.11.geojson,data/routes/2012/AB/mtc/GTFSTransitData_AB_2011.05.11.gpkg,1,1.0,
2,2012.11.06,GTFSTransitData_AC_2012.11.06.zip,3.0,AC,2012/GTFSTransitData_AC_2012.11.06.zip,mtc,2012,https://s3-us-west-2.amazonaws.com/mtc511gtfs/data/cached/2012/GTFSTransitData_AC_2012.11.06.zip,GTFSTransitData_AC_2012.11.06,data/routes/2012/AC/mtc,data/routes/2012/AC/mtc/GTFSTransitData_AC_2012.11.06.geojson,data/routes/2012/AC/mtc/GTFSTransitData_AC_2012.11.06.gpkg,1,1.0,
3,2012.11.06,GTFSTransitData_AD_2012.11.06.zip,4.0,AD,2012/GTFSTransitData_AD_2012.11.06.zip,mtc,2012,https://s3-us-west-2.amazonaws.com/mtc511gtfs/data/cached/2012/GTFSTransitData_AD_2012.11.06.zip,GTFSTransitData_AD_2012.11.06,data/routes/2012/AD/mtc,data/routes/2012/AD/mtc/GTFSTransitData_AD_2012.11.06.geojson,data/routes/2012/AD/mtc/GTFSTransitData_AD_2012.11.06.gpkg,1,1.0,
4,2012.08.12,GTFSTransitData_AM_2012.08.12.zip,5.0,AM,2012/GTFSTransitData_AM_2012.08.12.zip,mtc,2012,https://s3-us-west-2.amazonaws.com/mtc511gtfs/data/cached/2012/GTFSTransitData_AM_2012.08.12.zip,GTFSTransitData_AM_2012.08.12,data/routes/2012/AM/mtc,data/routes/2012/AM/mtc/GTFSTransitData_AM_2012.08.12.geojson,data/routes/2012/AM/mtc/GTFSTransitData_AM_2012.08.12.gpkg,1,1.0,
5,2012.10.29,GTFSTransitData_AT_2012.10.29.zip,6.0,AT,2012/GTFSTransitData_AT_2012.10.29.zip,mtc,2012,https://s3-us-west-2.amazonaws.com/mtc511gtfs/data/cached/2012/GTFSTransitData_AT_2012.10.29.zip,GTFSTransitData_AT_2012.10.29,data/routes/2012/AT/mtc,data/routes/2012/AT/mtc/GTFSTransitData_AT_2012.10.29.geojson,data/routes/2012/AT/mtc/GTFSTransitData_AT_2012.10.29.gpkg,1,1.0,
6,2012.02.28,GTFSTransitData_AY_2012.02.28.zip,7.0,AY,2012/GTFSTransitData_AY_2012.02.28.zip,mtc,2012,https://s3-us-west-2.amazonaws.com/mtc511gtfs/data/cached/2012/GTFSTransitData_AY_2012.02.28.zip,GTFSTransitData_AY_2012.02.28,data/routes/2012/AY/mtc,data/routes/2012/AY/mtc/GTFSTransitData_AY_2012.02.28.geojson,data/routes/2012/AY/mtc/GTFSTransitData_AY_2012.02.28.gpkg,1,1.0,
7,2012.09.10,GTFSTransitData_BA_2012.09.10.zip,8.0,BA,2012/GTFSTransitData_BA_2012.09.10.zip,mtc,2012,https://s3-us-west-2.amazonaws.com/mtc511gtfs/data/cached/2012/GTFSTransitData_BA_2012.09.10.zip,GTFSTransitData_BA_2012.09.10,data/routes/2012/BA/mtc,data/routes/2012/BA/mtc/GTFSTransitData_BA_2012.09.10.geojson,data/routes/2012/BA/mtc/GTFSTransitData_BA_2012.09.10.gpkg,1,1.0,
8,2012.10.29,GTFSTransitData_BG_2012.10.29.zip,9.0,BG,2012/GTFSTransitData_BG_2012.10.29.zip,mtc,2012,https://s3-us-west-2.amazonaws.com/mtc511gtfs/data/cached/2012/GTFSTransitData_BG_2012.10.29.zip,GTFSTransitData_BG_2012.10.29,data/routes/2012/BG/mtc,data/routes/2012/BG/mtc/GTFSTransitData_BG_2012.10.29.geojson,data/routes/2012/BG/mtc/GTFSTransitData_BG_2012.10.29.gpkg,1,1.0,
9,2012.08.19,GTFSTransitData_CC_2012.08.19.zip,10.0,CC,2012/GTFSTransitData_CC_2012.08.19.zip,mtc,2012,https://s3-us-west-2.amazonaws.com/mtc511gtfs/data/cached/2012/GTFSTransitData_CC_2012.08.19.zip,GTFSTransitData_CC_2012.08.19,data/routes/2012/CC/mtc,data/routes/2012/CC/mtc/GTFSTransitData_CC_2012.08.19.geojson,data/routes/2012/CC/mtc/GTFSTransitData_CC_2012.08.19.gpkg,1,1.0,
10,2012.10.06,GTFSTransitData_CE_2012.10.06.zip,11.0,CE,2012/GTFSTransitData_CE_2012.10.06.zip,mtc,2012,https://s3-us-west-2.amazonaws.com/mtc511gtfs/data/cached/2012/GTFSTransitData_CE_2012.10.06.zip,GTFSTransitData_CE_2012.10.06,data/routes/2012/CE/mtc,data/routes/2012/CE/mtc/GTFSTransitData_CE_2012.10.06.geojson,data/routes/2012/CE/mtc/GTFSTransitData_CE_2012.10.06.gpkg,1,1.0,
11,2012.10.02,GTFSTransitData_CT_2012.10.02.zip,12.0,CT,2012/GTFSTransitData_CT_2012.10.02.zip,mtc,2012,https://s3-us-west-2.amazonaws.com/mtc511gtfs/data/cached/2012/GTFSTransitData_CT_2012.10.02.zip,GTFSTransitData_CT_2012.10.02,data/routes/2012/CT/mtc,data/routes/2012/CT/mtc/GTFSTransitData_CT_2012.10.02.geojson,data/routes/2012/CT/mtc/GTFSTransitData_CT_2012.10.02.gpkg,1,1.0,
12,2012.10.31,GTFSTransitData_DE_2012.10.31.zip,13.0,DE,2012/GTFSTransitData_DE_2012.10.31.zip,mtc,2012,https://s3-us-west-2.amazonaws.com/mtc511gtfs/data/cached/2012/GTFSTransitData_DE_2012.10.31.zip,GTFSTransitData_DE_2012.10.31,data/routes/2012/DE/mtc,data/routes/2012/DE/mtc/GTFSTransitData_DE_2012.10.31.geojson,data/routes/2012/DE/mtc/GTFSTransitData_DE_2012.10.31.gpkg,1,1.0,
13,2011.08.26,GTFSTransitData_EM_2011.08.26.zip,14.0,EM,2012/GTFSTransitData_EM_2011.08.26.zip,mtc,2012,https://s3-us-west-2.amazonaws.com/mtc511gtfs/data/cached/2012/GTFSTransitData_EM_2011.08.26.zip,GTFSTransitData_EM_2011.08.26,data/routes/2012/EM/mtc,data/routes/2012/EM/mtc/GTFSTransitData_EM_2011.08.26.geojson,data/routes/2012/EM/mtc/GTFSTransitData_EM_2011.08.26.gpkg,1,1.0,
14,2012.08.03,GTFSTransitData_FS_2012.08.03.zip,15.0,FS,2012/GTFSTransitData_FS_2012.08.03.zip,mtc,2012,https://s3-us-west-2.amazonaws.com/mtc511gtfs/data/cached/2012/GTFSTransitData_FS_2012.08.03.zip,GTFSTransitData_FS_2012.08.03,data/routes/2012/FS/mtc,data/routes/2012/FS/mtc/GTFSTransitData_FS_2012.08.03.geojson,data/routes/2012/FS/mtc/GTFSTransitData_FS_2012.08.03.gpkg,1,1.0,
15,2012.10.02,GTFSTransitData_GF_2012.10.02.zip,16.0,GF,2012/GTFSTransitData_GF_2012.10.02.zip,mtc,2012,https://s3-us-west-2.amazonaws.com/mtc511gtfs/data/cached/2012/GTFSTransitData_GF_2012.10.02.zip,GTFSTransitData_GF_2012.10.02,data/routes/2012/GF/mtc,data/routes/2012/GF/mtc/GTFSTransitData_GF_2012.10.02.geojson,data/routes/2012/GF/mtc/GTFSTransitData_GF_2012.10.02.gpkg,1,1.0,
16,2012.11.06,GTFSTransitData_GG_2012.11.06.zip,17.0,GG,2012/GTFSTransitData_GG_2012.11.06.zip,mtc,2012,https://s3-us-west-2.amazonaws.com/mtc511gtfs/data/cached/2012/GTFSTransitData_GG_2012.11.06.zip,GTFSTransitData_GG_2012.11.06,data/routes/2012/GG/mtc,data/routes/2012/GG/mtc/GTFSTransitData_GG_2012.11.06.geojson,data/routes/2012/GG/mtc/GTFSTransitData_GG_2012.11.06.gpkg,1,1.0,
