,filename,year,date_exported,operator,pathname,source
1,GTFSTransitData_3D_2012.10.12.zip,2012,2012.10.12,3D,2012/GTFSTransitData_3D_2012.10.12.zip,mtc
2,GTFSTransitData_AB_2011.05.11.zip,2012,2011.05.11,AB,2012/GTFSTransitData_AB_2011.05.11.zip,mtc
3,GTFSTransitData_AC_2012.11.06.zip,2012,2012.11.06,AC,2012/GTFSTransitData_AC_2012.11.06.zip,mtc
4,GTFSTransitData_AD_2012.11.06.zip,2012,2012.11.06,AD,2012/GTFSTransitData_AD_2012.11.06.zip,mtc
5,GTFSTransitData_AM_2012.08.12.zip,2012,2012.08.12,AM,2012/GTFSTransitData_AM_2012.08.12.zip,mtc
6,GTFSTransitData_AT_2012.10.29.zip,2012,2012.10.29,AT,2012/GTFSTransitData_AT_2012.10.29.zip,mtc
7,GTFSTransitData_AY_2012.02.28.zip,2012,2012.02.28,AY,2012/GTFSTransitData_AY_2012.02.28.zip,mtc
8,GTFSTransitData_BA_2012.09.10.zip,2012,2012.09.10,BA,2012/GTFSTransitData_BA_2012.09.10.zip,mtc
9,GTFSTransitData_BG_2012.10.29.zip,2012,2012.10.29,BG,2012/GTFSTransitData_BG_2012.10.29.zip,mtc
10,GTFSTransitData_CC_2012.08.19.zip,2012,2012.08.19,CC,2012/GTFSTransitData_CC_2012.08.19.zip,mtc
11,GTFSTransitData_CE_2012.10.06.zip,2012,2012.10.06,CE,2012/GTFSTransitData_CE_2012.10.06.zip,mtc
12,GTFSTransitData_CT_2012.10.02.zip,2012,2012.10.02,CT,2012/GTFSTransitData_CT_2012.10.02.zip,mtc
13,GTFSTransitData_DE_2012.10.31.zip,2012,2012.10.31,DE,2012/GTFSTransitData_DE_2012.10.31.zip,mtc
14,GTFSTransitData_EM_2011.08.26.zip,2012,2011.08.26,EM,2012/GTFSTransitData_EM_2011.08.26.zip,mtc
15,GTFSTransitData_FS_2012.08.03.zip,2012,2012.08.03,FS,2012/GTFSTransitData_FS_2012.08.03.zip,mtc
16,GTFSTransitData_GF_2012.10.02.zip,2012,2012.10.02,GF,2012/GTFSTransitData_GF_2012.10.02.zip,mtc
17,GTFSTransitData_GG_2012.11.06.zip,2012,2012.11.06,GG,2012/GTFSTransitData_GG_2012.11.06.zip,mtc
18,GTFSTransitData_MA_2012.11.06.zip,2012,2012.11.06,MA,2012/GTFSTransitData_MA_2012.11.06.zip,mtc
19,GTFSTransitData_MS_2012.10.06.zip,2012,2012.10.06,MS,2012/GTFSTransitData_MS_2012.10.06.zip,mtc
20,GTFSTransitData_PE_2012.10.12.zip,2012,2012.10.12,PE,2012/GTFSTransitData_PE_2012.10.12.zip,mtc
21,GTFSTransitData_RV_2012.08.11.zip,2012,2012.08.11,RV,2012/GTFSTransitData_RV_2012.08.11.zip,mtc
22,GTFSTransitData_SB_2012.11.06.zip,2012,2012.11.06,SB,2012/GTFSTransitData_SB_2012.11.06.zip,mtc
23,GTFSTransitData_SC_2012.11.06.zip,2012,2012.11.06,SC,2012/GTFSTransitData_SC_2012.11.06.zip,mtc
24,GTFSTransitData_SF_2012.10.06.zip,2012,2012.10.06,SF,2012/GTFSTransitData_SF_2012.10.06.zip,mtc
25,GTFSTransitData_SM_2012.11.05.zip,2012,2012.11.05,SM,2012/GTFSTransitData_SM_2012.11.05.zip,mtc
26,GTFSTransitData_SO_2012.06.09.zip,2012,2012.06.09,SO,2012/GTFSTransitData_SO_2012.06.09.zip,mtc
27,GTFSTransitData_SR_2012.06.15.zip,2012,2012.06.15,SR,2012/GTFSTransitData_SR_2012.06.15.zip,mtc
28,GTFSTransitData_SV_2012.03.30.zip,2012,2012.03.30,SV,2012/GTFSTransitData_SV_2012.03.30.zip,mtc
29,GTFSTransitData_UC_2012.03.30.zip,2012,2012.03.30,UC,2012/GTFSTransitData_UC_2012.03.30.zip,mtc
