"","route_id","agency_id","route_short_name","route_long_name","route_type","f_am","f_pm","f_am_ls_thn_15m","f_pm_ls_thn_15m","f_am_bdl","f_pm_bdl","f_tpa_qual","avg_am_headway","avg_pm_headway","avg_am_trips","avg_pm_trips"
"1","51B","AC","51B","RockRidge - 3RUN",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,23,24.5
"2","54","AC","54","Fruitvale BART - Merritt College",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,13,16,19,15
"3","14","AC","14","W.OAKLAND/FRUITVALE BART",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,15.5,15,15.5,16
"4","1","AC","1","San Leandro Bart- Dtn. Oakland",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9,8,28,29.5
"5","57","AC","57","Emeryville/ Macarthur Blvd/ Foothill Sq",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,16,15,15.5,16
"6","10","AC","10","San Leandro BART - Hayward BART",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,15,15,16,16
"7","97","AC","97","Union City BART - Hesperian Blvd.",3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,40,36.5,13.5,13.5
"8","73","AC","73","Eastmont T.C. - Oakland Airport",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,15.5,15,15.5,16
"9","72R","AC","72R","San Pablo Rapid BUS",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,14,12,17.5,20
"10","Hollis North","EM",NA,"Hollis North",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,7,32,35
"11","Hollis South","EM",NA,"Hollis South",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,9,23,28
"12","North Shellmound","EM",NA,"North Shellmound",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,12,8,23,31
"13","Watergate Express","EM",NA,"Watergate Express",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,21,12,12,23
"14","120","SM","120","Colma BART - Brunswick/Templeton",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,13.5,56,17.5,17
"15","130","SM","130","Daly City BART - Colma BART",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,38,56,15,13.5
"16","1","SF","1","CALIFORNIA",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11,31,25.3333333333333,31.6666666666667
"17","5R","SF","5R","FULTON  RAPID",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9,63,31,20.3333333333333
"18","6","SF","6","HAIGHT-PARNASSUS",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,28.5,149.75,15,8.75
"19","9R","SF","9R","SAN BRUNO RAPID",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10.5,24,22.5,13.3333333333333
"20","10","SF","10","TOWNSEND",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,14,54.6666666666667,18,10.6666666666667
"21","19","SF","19","POLK",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,16.5,15,14.5,16
"22","21","SF","21","HAYES",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9.5,9,26,26
"23","25","SF","25","TREASURE ISLAND",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11,15.5,22,15.5
"24","28","SF","28","19TH AVENUE",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11,35.5,21.5,21.5
"25","31","SF","31","BALBOA",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,20.5,84,16,11
"26","33","SF","33","ASHBURY-18TH ST",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,37.5,90,11,11
"27","38R","SF","38R","GEARY RAPID",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.5,4,45,53.5
"28","45","SF","45","UNION-STOCKTON",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,66,12,19,20
"29","47","SF","47","VAN NESS",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9,8,26.5,30.5
"30","49","SF","49","VAN NESS-MISSION",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9.5,8,26,31
"31","70","SC","70","CAPITOL LRT STN - GREAT MALL/MAIN",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,38,90.6666666666667,13.5,10.3333333333333
"32","201","SC","201","DOWNTOWN AREA SHUTTLE (DASH)",3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11,11,21.5,22
